station,deployment,date,time_in,time_out,zd,general_locale,dttm,lat,lon,temp_c,chla_fluor,sal_psu,bot_depth_m,max_tension,station_distance_m
C285C-001,HC,2019-06-13,20:30,NA,+4,NA,2019-06-13T20:30-04:00,41.2112,-70.9971,14.0318,1199,31.85,32.72,NA,NA
C285C-002,HC,2019-06-14,02:46,NA,+4,NA,2019-06-14T02:46-04:00,41.0327,-71.2918,14.852,1067,31.9088,42.58,NA,NA
C285C-002,SS,2019-06-14,02:59,NA,+4,NA,2019-06-14T02:59-04:00,41.0000,-70.0000,14.8571,1013,31.9097,42.13,NA,NA
C285C-002,NT,2019-06-14,03:30,04:00,+4,NA,2019-06-14T03:30-04:00,41.0388,-71.3145,14.7859,1044,31.8973,42.24,NA,1611.3687325164628
C285C-002,MN,2019-06-14,03:30,NA,+4,NA,2019-06-14T03:30-04:00,41.0388,-71.3145,14.7859,1044,31.8973,42.24,NA,NA
C285C-003,HC,2019-06-14,09:14,NA,+4,NA,2019-06-14T09:14-04:00,41.0534,-71.4985,14.7528,858,31.9266,38.47,NA,NA
C285C-003,NT,2019-06-14,10:30,11:01,+4,NA,2019-06-14T10:30-04:00,41.0849,-71.5151,14.9445,789,31.978,19.51,NA,3347.26432521553
C285C-003,MN,2019-06-14,10:30,NA,+4,NA,2019-06-14T10:30-04:00,41.0849,-71.5151,14.9445,789,31.978,19.51,NA,NA
C285C-004,HC,2019-06-14,14:35,NA,+4,NA,2019-06-14T14:35-04:00,41.2838,-71.5008,15.4145,1069,31.0196,41,NA,NA
C285C-004,MN,2019-06-14,14:35,NA,+4,NA,2019-06-14T14:35-04:00,41.2838,-71.5008,15.4145,1069,31.0196,41,NA,NA
C285C-005,HC,2019-06-14,20:35,NA,+4,NA,2019-06-14T20:35-04:00,41.0370,-71.0622,14.8371,1075,31.9972,38.66,NA,NA
C285C-005,SS,2019-06-14,20:45,NA,+4,NA,2019-06-14T20:45-04:00,41.0383,-71.0601,14.8781,1047,31.9929,37.75,NA,NA
C285C-005,NT,2019-06-14,22:11,22:40,+4,NA,2019-06-14T22:11-04:00,41.0721,-71.0590,14.5813,947,31.9551,32.35,NA,2289.5667322910617
C285C-006,HC,2019-06-15,03:54,NA,+4,NA,2019-06-15T03:54-04:00,41.2104,-70.8907,14.6187,874,31.1833,23.78,NA,NA
C285C-006,NT,2019-06-15,05:02,05:30,+4,NA,2019-06-15T05:02-04:00,41.2537,-70.9015,14.6944,964,31.2075,30.47,NA,3709.5632171689667
C285C-007,HC,2019-06-15,11:13,NA,+4,NA,2019-06-15T11:13-04:00,41.4699,-70.9271,16.7128,1529,31.4245,23.03,NA,NA
C285C-007,SS,2019-06-15,11:52,NA,+4,NA,2019-06-15T11:52-04:00,41.4636,-70.9414,16.8158,1334,31.4301,15.5,NA,NA
C285C-007,NT,2019-06-15,12:30,13:01,+4,NA,2019-06-15T12:30-04:00,41.4529,-70.9697,16.9535,1354,31.4035,15.08,NA,5137.235712072242
